"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"PHYTOCHEMISTRY";"0031-9422";"PHYTOCHEMISTRY";29581;2.547;3.278;0.466;236;">10.0";0.0177;0.852;"PLANT SCIENCES"
"PHYTOCHEMISTRY";"0031-9422";"PHYTOCHEMISTRY";29581;2.547;3.278;0.466;236;">10.0";0.0177;0.852;"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY";"0031-9457";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLANETARY AND SPACE SCIENCE";"0032-0633";"PLANET SPACE SCI";6007;1.875;1.907;0.626;219;"8.9";0.01469;0.884;"ASTRONOMY & ASTROPHYSICS"
"PLANT AND SOIL";"0032-079X";"PLANT SOIL";24017;2.952;3.528;0.549;381;">10.0";0.03236;1.006;"SOIL SCIENCE"
"PLANT AND SOIL";"0032-079X";"PLANT SOIL";24017;2.952;3.528;0.549;381;">10.0";0.03236;1.006;"PLANT SCIENCES"
"PLANT AND SOIL";"0032-079X";"PLANT SOIL";24017;2.952;3.528;0.549;381;">10.0";0.03236;1.006;"AGRONOMY"
"QUATERNARY RESEARCH";"0033-5894";"QUATERNARY RES";6683;2.544;2.676;1.125;104;">10.0";0.00821;1.004;"GEOSCIENCES, MULTIDISCIPLINARY"
"QUATERNARY RESEARCH";"0033-5894";"QUATERNARY RES";6683;2.544;2.676;1.125;104;">10.0";0.00821;1.004;"GEOGRAPHY, PHYSICAL"
"REMOTE SENSING OF ENVIRONMENT";"0034-4257";"REMOTE SENS ENVIRON";34609;6.393;7.769;1.271;380;"8.4";0.04569;1.936;"REMOTE SENSING"
"REMOTE SENSING OF ENVIRONMENT";"0034-4257";"REMOTE SENS ENVIRON";34609;6.393;7.769;1.271;380;"8.4";0.04569;1.936;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"REMOTE SENSING OF ENVIRONMENT";"0034-4257";"REMOTE SENS ENVIRON";34609;6.393;7.769;1.271;380;"8.4";0.04569;1.936;"ENVIRONMENTAL SCIENCES"
"REVIEW OF SCIENTIFIC INSTRUMENTS";"0034-6748";"REV SCI INSTRUM";26103;1.614;1.618;0.319;1528;"9.2";0.04682;0.586;"PHYSICS, APPLIED"
"REVIEW OF SCIENTIFIC INSTRUMENTS";"0034-6748";"REV SCI INSTRUM";26103;1.614;1.618;0.319;1528;"9.2";0.04682;0.586;"INSTRUMENTS & INSTRUMENTATION"
